issue_key,issue_type,priority,has_priority,component_present,summary_length,summary_word_count,description_length,description_word_count,created_year,created_month,created_dayofweek,created_hour,resolution_time_days,delay_threshold_days,is_delayed
SRCTREEWIN-13381,Bug,Low,1,1,36,5,641,89,2020,12,6,16,39.7667,305.2055555555556,0
SRCTREEWIN-13376,Bug,Low,1,1,34,4,141,11,2020,12,0,9,123.1132,305.2055555555556,0
SRCTREEWIN-13372,Bug,Low,1,1,92,16,1314,245,2020,12,5,16,124.8417,305.2055555555556,0
SRCTREEWIN-13309,Bug,Low,1,1,63,9,468,84,2020,1,2,11,293.1472,305.2055555555556,0
SRCTREEWIN-13307,Bug,Low,1,1,125,22,2948,115,2020,11,1,13,398.125,305.2055555555556,1
SRCTREEWIN-13305,Bug,Low,1,1,38,5,676,121,2020,8,4,15,146.7326,305.2055555555556,0
SRCTREEWIN-13285,Bug,Low,1,1,62,10,1179,183,2020,10,3,13,7.8597,305.2055555555556,0
SRCTREEWIN-13260,Bug,Low,1,1,31,7,222,35,2020,10,1,11,9.9549,305.2055555555556,0
SRCTREEWIN-13259,Bug,Medium,1,1,55,8,567,110,2019,6,3,10,589.0,305.2055555555556,1
SRCTREEWIN-13258,Bug,Low,1,1,64,11,788,138,2020,1,0,13,295.0771,305.2055555555556,0
SRCTREEWIN-13257,Bug,Low,1,1,41,7,368,45,2020,1,1,8,404.9083,305.2055555555556,1
SRCTREEWIN-13255,Bug,Low,1,1,27,4,360,61,2020,1,0,7,291.1368,305.2055555555556,0
SRCTREEWIN-13253,Bug,Low,1,1,20,4,4574,203,2020,10,2,13,95.6875,305.2055555555556,0
SRCTREEWIN-13252,Bug,Low,1,1,58,8,184,17,2020,10,6,6,29.991,305.2055555555556,0
SRCTREEWIN-13251,Bug,Low,1,1,58,8,184,17,2020,10,5,16,30.5819,305.2055555555556,0
SRCTREEWIN-13225,Bug,Low,1,1,56,9,439,77,2020,9,3,9,127.0479,305.2055555555556,0
SRCTREEWIN-13220,Bug,Low,1,1,15,2,103,18,2020,9,4,13,132.8868,305.2055555555556,0
SRCTREEWIN-13217,Bug,Low,1,1,30,4,284,49,2020,9,3,8,126.8688,305.2055555555556,0
SRCTREEWIN-13203,Bug,Low,1,1,69,10,296,47,2020,8,5,11,63.1014,305.2055555555556,0
SRCTREEWIN-13182,Bug,Low,1,1,70,9,992,120,2020,8,1,16,6.3382,305.2055555555556,0
SRCTREEWIN-13178,Bug,Low,1,1,33,5,1014,139,2020,8,0,14,80.8285,305.2055555555556,0
SRCTREEWIN-13168,Bug,Low,1,1,45,6,587,75,2020,8,5,14,100.6312,305.2055555555556,0
SRCTREEWIN-13154,Bug,Low,1,1,45,7,1118,194,2020,7,1,14,390.8319,305.2055555555556,1
SRCTREEWIN-13152,Bug,Low,1,1,48,7,478,63,2020,7,1,5,324.1938,305.2055555555556,1
SRCTREEWIN-13141,Bug,Low,1,1,52,9,632,66,2020,7,5,12,107.6896,305.2055555555556,0
SRCTREEWIN-13140,Bug,Low,1,1,72,14,514,81,2020,7,5,12,107.709,305.2055555555556,0
SRCTREEWIN-13118,Bug,Low,1,1,89,13,195,27,2020,7,5,10,128.7826,305.2055555555556,0
SRCTREEWIN-13096,Bug,Low,1,1,56,8,134,11,2020,5,2,14,1049.8097,305.2055555555556,1
SRCTREEWIN-13092,Bug,Low,1,1,49,8,108,17,2020,5,2,19,257.709,305.2055555555556,0
SRCTREEWIN-13089,Bug,Low,1,1,27,5,82,14,2020,5,2,6,901.9125,305.2055555555556,1
SRCTREEWIN-13088,Bug,Low,1,1,6,1,6,1,2020,5,1,23,181.2368,305.2055555555556,0
SRCTREEWIN-13086,Bug,Low,1,1,36,5,149,25,2020,5,1,22,188.4271,305.2055555555556,0
SRCTREEWIN-13056,Bug,Low,1,1,61,7,799,132,2020,4,4,22,293.5347,305.2055555555556,0
SRCTREEWIN-13051,Bug,Low,1,1,61,9,177,29,2020,4,2,12,223.1299,305.2055555555556,0
SRCTREEWIN-13046,Bug,Low,1,1,24,3,776,131,2020,3,0,3,232.4896,305.2055555555556,0
SRCTREEWIN-12988,Bug,Low,1,1,73,9,655,113,2020,3,2,19,313.4576,305.2055555555556,1
SRCTREEWIN-12985,Bug,Low,1,1,60,7,1909,131,2020,3,1,18,391.7312,305.2055555555556,1
SRCTREEWIN-12969,Bug,Low,1,1,100,13,341,58,2020,2,1,19,331.6354,305.2055555555556,1
SRCTREEWIN-12953,Bug,Low,1,1,32,4,541,86,2020,2,2,0,272.6069,305.2055555555556,0
SRCTREEWIN-12936,Bug,Low,1,1,44,8,135,25,2020,2,0,13,274.0438,305.2055555555556,0
SRCTREEWIN-12933,Bug,Low,1,1,40,6,118,20,2020,2,5,18,38.8639,305.2055555555556,0
SRCTREEWIN-12920,Bug,Low,1,1,71,14,402,42,2020,2,5,13,39.0903,305.2055555555556,0
SRCTREEWIN-12912,Bug,Low,1,1,76,10,782,119,2020,2,2,19,375.4243,305.2055555555556,1
SRCTREEWIN-12903,Bug,Low,1,1,28,5,486,71,2020,2,0,11,280.8889,305.2055555555556,0
SRCTREEWIN-12888,Bug,Low,1,1,41,4,305,46,2020,2,1,11,287.1472,305.2055555555556,0
SRCTREEWIN-12886,Bug,Low,1,1,45,7,479,70,2020,2,6,15,365.8493,305.2055555555556,1
SRCTREEWIN-12879,Bug,Low,1,1,23,4,611,106,2020,1,3,11,292.1292,305.2055555555556,0
SRCTREEWIN-12868,Bug,Low,1,1,28,5,400,68,2020,1,1,15,293.9812,305.2055555555556,0
SRCTREEWIN-12865,Bug,Low,1,1,36,6,108,17,2020,1,1,11,371.0549,305.2055555555556,1
SRCTREEWIN-12849,Bug,Low,1,1,36,5,267,39,2020,1,3,15,298.9514,305.2055555555556,0
SRCTREEWIN-12846,Bug,Low,1,1,18,4,375,69,2020,1,3,9,292.2556,305.2055555555556,0
SRCTREEWIN-12843,Bug,Low,1,1,29,5,175,34,2020,1,3,7,292.3188,305.2055555555556,0
SRCTREEWIN-12842,Bug,Low,1,1,39,7,690,119,2020,1,3,0,292.6097,305.2055555555556,0
SRCTREEWIN-12840,Bug,Low,1,1,31,5,127,20,2020,1,2,14,293.0285,305.2055555555556,0
SRCTREEWIN-12839,Bug,Low,1,1,28,4,166,29,2020,1,2,12,300.1049,305.2055555555556,0
SRCTREEWIN-12838,Bug,Low,1,1,51,10,316,57,2020,1,2,10,293.1958,305.2055555555556,0
SRCTREEWIN-12837,Bug,Low,1,1,36,4,447,22,2020,1,2,9,63.2389,305.2055555555556,0
SRCTREEWIN-12836,Bug,Low,1,1,34,4,835,19,2020,1,2,9,63.2451,305.2055555555556,0
SRCTREEWIN-12835,Bug,Low,1,1,58,6,288,22,2020,1,2,9,63.2486,305.2055555555556,0
SRCTREEWIN-12834,Bug,Low,1,1,63,8,289,24,2020,1,2,9,63.25,305.2055555555556,0
SRCTREEWIN-12833,Bug,Low,1,1,63,9,289,24,2020,1,2,9,63.2507,305.2055555555556,0
SRCTREEWIN-12832,Bug,Low,1,1,30,4,123,18,2020,1,2,8,293.3007,305.2055555555556,0
SRCTREEWIN-12831,Bug,Low,1,1,63,8,294,24,2020,1,2,8,63.3014,305.2055555555556,0
SRCTREEWIN-12813,Bug,Low,1,1,9,2,10,1,2020,1,1,9,64.2597,305.2055555555556,0
SRCTREEWIN-12808,Bug,Low,1,1,35,6,504,93,2020,1,0,22,294.7118,305.2055555555556,0
SRCTREEWIN-12803,Bug,Low,1,1,95,14,1335,242,2020,1,6,15,295.9778,305.2055555555556,0
SRCTREEWIN-12801,Bug,Low,1,1,80,11,285,28,2020,1,6,14,66.0403,305.2055555555556,0
SRCTREEWIN-12784,Bug,Low,1,1,42,6,272,41,2020,1,5,7,297.3333,305.2055555555556,0
SRCTREEWIN-12780,Bug,Low,1,1,26,5,808,125,2020,1,4,13,298.0847,305.2055555555556,0
SRCTREEWIN-12778,Bug,Low,1,1,67,9,192,32,2020,1,4,2,298.5472,305.2055555555556,0
SRCTREEWIN-12774,Bug,Low,1,1,56,9,351,63,2020,1,3,13,299.0771,305.2055555555556,0
SRCTREEWIN-12770,Bug,Low,1,1,26,5,390,68,2020,1,3,8,299.2993,305.2055555555556,0
SRCTREEWIN-12768,Bug,Low,1,1,114,22,850,164,2020,1,2,16,306.7847,305.2055555555556,1
SRCTREEWIN-12767,Bug,Low,1,1,51,6,922,161,2020,1,2,16,299.9639,305.2055555555556,0
SRCTREEWIN-12766,Bug,Low,1,1,47,5,53,12,2020,1,2,0,300.6333,305.2055555555556,0
SRCTREEWIN-12765,Bug,Low,1,1,3,1,801,132,2020,1,1,23,300.6639,305.2055555555556,0
